,UserId,AssignmentId,Fig1,Fig2,Fig3,Fig4,Fig5,Fig6,Fig7,Fig8,Fig9,Fig10
1,A17V85U8PXS4LJ,326O153BMJ6QGU6O70UB4QRDOEHDE7,True,True,False,True,False,True,False,True,True,True
2,A1CY01G7686ORZ,3QFUFYSY9ZN5MCNR90DOJ4I7N23F4E,False,True,True,True,False,True,False,True,False,True
3,A1FGKIKJYSL1MI,3LUY3GC6308EWCU4P170YAGLGAG7PT,True,True,True,True,True,True,True,True,True,True
4,A1ITF1O2NFDPCP,39L1G8WVWRZTE1AF2NTKKXM78SQ13G,False,True,True,True,False,True,True,False,False,True
5,A1JNNP9R3IF17Z,3W8CV64QJ37QXEK9LLXF3X50P9UH9A,False,True,True,False,False,True,True,True,True,True
6,A1OKHQE34UFCL5,34HJIJKLP64UI99H9FIS1QLTBWR4VR,False,True,True,True,False,True,True,True,True,True
7,A1Q995BGGPBDMB,31UV0MXWNRK7SMTHOD2JRT1D3QQ5I0,False,False,True,True,True,True,False,True,False,True
8,A1QJFQMPPFNG8F,338JKRMM27742XUEDRBFZSGKVRCHAP,True,True,True,True,True,True,True,True,True,True
9,A1RWNYJA5X25YH,3NPFYT4IZDC2YE7W4VLBY0FHHC7XG9,False,True,True,True,True,True,False,True,True,False
10,A1Z12SGB1WMXHK,3OHYZ19UGDDEUEG1H465J1DL7DRAO7,False,True,True,True,True,True,True,True,True,True
11,A27RVVHK9M81ST,3ON104KXQL47XY9MZPNONS47I5T4W1,False,True,True,True,True,True,True,True,True,True
12,A2I6KQFA18BEGQ,3QHK8ZVMINQB73IWAQQ9MVTXUQ8BLN,True,True,True,True,False,True,False,True,False,True
13,A2UP4TCLF892NV,3300DTYQT3PK53ATCM0V4PYC7TCEQJ,True,True,True,True,True,True,True,True,True,True
14,A2X5RIMKTETKWM,382M9COHEINCXWHATVK0EQV1AECEUI,True,True,True,True,True,True,False,True,False,False
15,A2Y043PGKEODND,3COPXFW7XCK2RR1O8VW92FL7MUGKPC,False,True,True,True,True,True,True,True,False,False
16,A339YQ2DS0BS8R,3AAPLD8UCDP9HTTNJR2WUX6CJGXHTA,False,True,True,True,True,True,True,False,False,True
17,A3GMRPF5MCQVGV,3JAOYWH7VJCSJA3ZC6CDVPY76Q3L9L,False,True,True,True,True,True,False,True,False,True
18,A3II2ONBAAHOF,3V0Z7YWSIZ8KFVUU51Z48BOVRIWV2N,True,True,True,True,True,True,True,True,False,True
19,A3LPZ9NGCUYJEW,3X3OR7WPZ08S55KP7E6ZVT3WMKLL8W,True,True,True,True,False,True,True,True,True,True
20,A3RUUCI6HGJKNW,39N5ACM9HFVIAVIX4Y5KC67RB04P9N,False,True,True,True,True,True,False,True,True,True
21,A3T01NM4993LZE,37U1UTWH9WU383F2CY3VH5CVSCB8RA,True,True,True,True,False,True,True,True,True,True
22,A4397UDZV79P0,3RWE2M8QWII0BGI7ON9ZF6138H9N0D,True,True,True,True,True,False,False,True,True,True
23,A4IX0UUC3A3GY,3U84XHCDIDLBRTERAC7VMWYPZ7X4ZR,True,True,False,True,False,True,False,False,False,True
24,A56APTVZBILZG,3JC6VJ2SACRSM4AJCPA6AVDUQILA51,True,True,True,True,True,True,True,False,True,True
25,A8ZUM922CBH6S,3EFVCAY5L4HMAFWP4TUMFEQ4IVG8JH,False,True,True,True,True,True,True,False,True,True
26,ADXHWQLUQBK77,3FIJLY1B6VCRB59A7K5CM2T2EYZFP5,True,True,True,True,True,True,True,True,True,True
27,AEEEOIAM9LY7E,354P56DE9LBB94AWHIBUTFLW3UN7S9,False,True,True,True,True,True,True,False,True,True
28,AM36K1JYK4SC1,3H0W84IWBLAKH4PTP1PV9F8H3F9RES,False,True,True,False,True,False,True,True,True,True
29,A1BNEJ2Q76JNF3,3TY7ZAOG5GSZ3AX4RAHJNEKZEUMK03,True,False,True,True,False,True,True,True,False,True
30,A1DO03UZMUZROP,3WI0P0II620FPYBTT6EB3XQW3BRRDY,True,True,True,True,False,True,False,True,True,True
31,A1LII4M7CS6C9I,3570Y55XZQRRYJX69R7DHEMQJQPGY2,True,True,False,False,True,True,True,True,False,False
32,A1QRXIMSBSK6YR,3IUZPWIU1PFSB0YPKHA4U9T3F05WKN,True,True,True,True,True,False,False,True,False,True
33,A1S1K7134S2VUC,3YT88D1N096VK2W1AXZ2PCI6H68K30,True,True,True,True,True,True,False,True,False,True
34,A226PPE8EN1W8M,3DI28L7YXBMWOZQCR7AG3OQ4ZPY1E5,True,True,True,True,True,True,True,False,False,True
35,A22KRF782ELLB0,33CID571051648EJVXB34CVL66BL32,False,True,False,True,True,True,False,True,True,True
36,A264ST1NX9PDLI,3WYP994K18ZP1Q80XEYR5N91PCI6YM,False,True,True,True,False,True,False,True,True,True
37,A2CLGYPCKVH59J,38F71OA9GU4LQ2CXF4DK5YZ7917MFF,False,True,True,True,False,True,False,True,False,True
